NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME_DA_EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
100% FRUTA COMERCIO DE SORVETES LTDA - ME;03/03/2017;1308792;100% FRUTA COMERCIO DE SORVETES LTDA - ME;23/03/2017;12/01/2018;LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;***;***;AV. SETE DE SETEMBRO;2775;***;***;***;REBOUÇAS;80230010
1000 CAR COMERCIO DE VEICULOS LTDA;01/04/1999;558347;1000 CAR COMERCIO DE VEICULOS LTDA;02/01/2002;***;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTIL;COMÉRCIO SOB CONSIGNAÇÃO DE VEÍCULOS AUTOMOTORES;***;R. ORLANDO ALBINO VON DER OSTEN;29;***;***;TR;NOVO MUNDO;81050210
1000 MARCAS SUL EQUIPAMENTOS DE SEGURANCA LTDA - M;23/01/2007;1274259;1000 MARCAS SUL;28/06/2016;***;COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRIOS PARA US;***;***;AV. JUSCELINO KUBITSCHEK DE OLIVEIRA;651;***;***;***;CIDADE INDUSTRIAL;81280140
1000 PROJETOS - GESTAO EMPRESARIAL EIRELI;25/06/2019;1439680;1000 PROJETOS - GESTAO EMPRESARIAL EIRELI;25/06/2019;***;ATIVIDADES DE COBRANÇAS E INFORMAÇÕES CADASTRAIS;SERVIÇOS COMBINADOS DE ESCRITÓRIO E APOIO ADMINIST;***;R. FRANCISCO ROCHA;62;1403;14;***;BATEL;80420130
1000SEGUROS CORRETORA DE SEGUROS LTDA - ME;10/02/2015;1216122;1000SEGUROS CORRETORA LTDA - ME;13/03/2015;***;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREV;***;***;R. NICOLA PELLANDA;4765;1;***;***;UMBARÁ;81940305
1001 EVENTOS E TURISMO LTDA;01/09/2006;973138;***;01/12/2010;***;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXP;AGÊNCIAS DE VIAGENS;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB;R. HARVEY DE BARROS SILVA;32;***;***;***;PILARZINHO;82110110
1001 LOJAS - EIRELI - ME;22/04/2008;1210526;1001 LOJAS;27/01/2015;***;COMÉRCIO VAREJISTA DE MÓVEIS;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;COMÉRCIO VAREJISTA DE ARTIGOS DE DECORAÇÃO PARA FE;R. TIBAGI;688;B;***;***;CENTRO;80060110
1001 MATERIAIS DE CONSTRUCAO LTDA-EPP;06/02/1997;1053735;1001 MATERIAIS DE CONSTRUCAO LTDA;31/01/2012;***;COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM G;***;***;R. ENGENHEIRO ALBERTO MONTEIRO DE CARVALHO;1032;***;***;TR;CAPÃO DA IMBUIA;82810280
1001 SERVICOS DE INSTALACOES ELETRICAS E DE TELEFO;17/02/2003;970195;1001 SERVICOS DE INSTALACOES ELETRICAS E DE TELEFO;01/12/2010;***;MANUTENÇÃO DE ESTAÇÕES E REDES DE TELECOMUNICAÇÕES;INSTALAÇÃO E MANUTENÇÃO ELÉTRICA;***;R. PETIT CARNEIRO;60;***;***;***;ÁGUA VERDE;80240050
1003 - EXPORTADORA E IMPORTADORA DE PRODUTOS MANUF;03/04/1991;467937;1003 - EXPORTADORA E IMPORTADORA DE PRODUTOS MANUF;04/03/1999;***;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESS;COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GER;COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFI;TV. OLIVEIRA BELLO;80;C301;3;AD;CENTRO;80020030
